status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,positive_sentiment
462848240518806_904712896332336,"Shout out to SB Hacks!!! Today is the last day to sign up for the hackathon! Check out their Facebook page https://www.facebook.com/events/1231610086899705/ 
and sign up at sbhacks.com!",SB Hacks III,link,http://www.sbhacks.com/,2016-12-31 03:20:52,5,0,0,5,0,0,0,0,0,5
462848240518806_867065166763776,"10.30.16 - Citrus Hack 2016: Photos Are Up!

A week after the innovation weekend and all eyes are on the photos. Reminisce on all things #CitrusHack2016. Share and tag your friends. Be proud of the work you did and we will see you next year!

Citrus Hack Album:
https://www.facebook.com/media/set/?set=a.867034986766794.1073741832.462848240518806&type=1&l=56e18d6881

MLH Album:
https://www.facebook.com/pg/MajorLeagueHacking/photos/?tab=album&album_id=1255383114512364",Timeline Photos,photo,https://www.facebook.com/CitrusHack/photos/a.530684170401879.1073741828.462848240518806/867065166763776/?type=3,2016-10-31 00:41:11,10,0,0,9,1,0,0,0,0,10
462848240518806_867035056766787,"Photos from the Inland Empire's 2nd annual Premier Hackathon. Where the best and brightest competed in a 36 hour hacking showdown, right in the heart of Riverside.

Photo credits: Alyza Malunao, Nancy Gao, Patrick Le, and Dayo Adeleke! With some edits by Nancy Gao!",Citrus Hack 2016,photo,https://www.facebook.com/CitrusHack/photos/a.867034986766794.1073741832.462848240518806/867035056766787/?type=3,2016-10-31 00:26:27,76,2,3,70,6,0,0,0,0,79
462848240518806_864790636991229,"10.27.16 - Citrus Hack 2016: Thank You Sponsors!

We would like to thank our sponsors one more time for helping us host such a fruitful event. If you haven't been able to check out these companies or organizations, make sure you do! You won't be disappointed! #CitrusHack2016 Cee out!",Timeline Photos,photo,https://www.facebook.com/CitrusHack/photos/a.530684170401879.1073741828.462848240518806/864790636991229/?type=3,2016-10-27 14:00:34,4,0,0,4,0,0,0,0,0,4
462848240518806_862973053839654,"10.24.16 - Citrus Hack 2016: Thank You!

After a weekend of fun and innovation, Citrus Hack 2016 has come to an end. We want to thank everyone who came out and made this event awesome. Continue working on your projects, break through every boundary you see and we will see you next year! #CitrusHack2016",Timeline Photos,photo,https://www.facebook.com/CitrusHack/photos/a.530684170401879.1073741828.462848240518806/862973053839654/?type=3,2016-10-24 14:00:48,19,0,0,18,1,0,0,0,0,19
462848240518806_862226370580989,"10.23.16 - CITRUS HACK 2016: Day THREE 

It's the last day of hacking, are you ready for the final stretch? Polish whatcha got and rock those demos. Best of luck to all attendees! If you haven't already sign up for our slack for in-event details at https://citrushack2016.slack.com/signup. #CitrusHack2016",Timeline Photos,photo,https://www.facebook.com/CitrusHack/photos/a.530684170401879.1073741828.462848240518806/862226370580989/?type=3,2016-10-23 08:00:52,2,0,0,2,0,0,0,0,0,2
462848240518806_861633447306948,"10.22.16 - CITRUS HACK 2016: Day TWO

Day Two is here! How are your projects coming along? Our live site is up for info on prizes, schedules, and more on #CitrusHack2016 at citrushack.com. Sign up for our slack for in-event details at https://citrushack2016.slack.com/signup.",Timeline Photos,photo,https://www.facebook.com/CitrusHack/photos/a.530684170401879.1073741828.462848240518806/861633447306948/?type=3,2016-10-22 09:47:10,0,0,0,0,0,0,0,0,0,0
462848240518806_861247860678840,"10.21.16 - CITRUS HACK 2016

Today is the big day, #CitrusHack2016 is underway. Check in has started outside of Winston Chung Hall next to North Campus Drive: http://campusmap.ucr.edu. Sign up for our slack for in-event details. https://citrushack2016.slack.com/signup.",Timeline Photos,photo,https://www.facebook.com/CitrusHack/photos/a.530684170401879.1073741828.462848240518806/861247860678840/?type=3,2016-10-21 20:03:52,2,0,0,2,0,0,0,0,0,2
462848240518806_860575840746042,"10.20.16 - 1 More Day: SupplyFrame 

Get your soldering irons warmed up and your laptops charged, Citrus Hack is tomorrow! Are you ready for some hardware and software hacking? Check out the Hackaday community for some projects others have done, hackaday.io/projects. #CitrusHack2016 goes live tomorrow, catch the experience on our social media.",Timeline Photos,photo,https://www.facebook.com/CitrusHack/photos/a.530684170401879.1073741828.462848240518806/860575840746042/?type=3,2016-10-20 18:30:40,5,0,0,5,0,0,0,0,0,5
462848240518806_860093604127599,"10.19.16 - 2 More Days: Co-Sponsor Equipo Vision

Today we are very excited to announce Equipo Vision as our Co-Hosting Sponsor for Citrus Hack 2016! Their continued support for Citrus Hack has and will allow us to offer you an awesome hackathon. Don't forget #CitrusHack2016 will be the hub for important social media updates this weekend!",Timeline Photos,photo,https://www.facebook.com/CitrusHack/photos/a.530684170401879.1073741828.462848240518806/860093604127599/?type=3,2016-10-20 01:15:48,7,0,0,7,0,0,0,0,0,7
